平移量(週數),Spearman 係數,Pearson 係數,Kendall Tau
160,0.019788521467993116,-0.013593861845994988,0.013174724223618687
158,0.010158087818831965,-0.011744169631835649,0.006814549261195028
104,-0.008232059616960137,-0.024056613189259175,-0.005363301312996269
2,-0.00868255411425782,-0.020355036142963877,-0.0057613524732140825
161,-0.010831026169844821,-0.030542535528523856,-0.00715466789829522
163,-0.013689289468436148,-0.030134165235669266,-0.008934600996429913
112,-0.01645410604836254,-0.04140792270176828,-0.010950095207371497
157,-0.01677336778155305,-0.04441665909798235,-0.01112000496185484
108,-0.017280765725495795,-0.03768518037678864,-0.011446832040089592
109,-0.017376477384998538,-0.04004561796565506,-0.011618282908774223
156,-0.019047770820772435,-0.03128854082599665,-0.012408696130522832
4,-0.019438477921389943,-0.028627988860732062,-0.013048167362874423
53,-0.019655740938529894,-0.030072684112687046,-0.013003739831555878
107,-0.01977794111512916,-0.03745996108743299,-0.013193075709504353
1,-0.02810716289546154,-0.038022810227305484,-0.01876137326093932
3,-0.02830728481602619,-0.03599350534609688,-0.018971211578025237
55,-0.029621904560418726,-0.04156708126665576,-0.019846509107391355
54,-0.029867104272114725,-0.03918539186237569,-0.019965008150985935
105,-0.030341525170535545,-0.05016907766466746,-0.020006150808841463
51,-0.030874975262455983,-0.03895116790310546,-0.020547976835667982
165,-0.030975062853751036,-0.04301825725872281,-0.02069062955845234
155,-0.03252499104632868,-0.05390830893406119,-0.021520643738097003
164,-0.032599193799448666,-0.04621679572315807,-0.021657856186354744
7,-0.03474423727021788,-0.040107831454291455,-0.023356990201916766
162,-0.03487250743829241,-0.06153611689639189,-0.023345061600829994
49,-0.03495733598625158,-0.04100504841263099,-0.02316554264118444
57,-0.036576575045272466,-0.04675873766807701,-0.02456636670910365
5,-0.03699020464703421,-0.045187309927750066,-0.024892502122845283
106,-0.0378407634147344,-0.0597181378987309,-0.025355268690005508
50,-0.038265880950888995,-0.042817160753025316,-0.025470183312201824
111,-0.03834905701337536,-0.05905293541792567,-0.025634334040234977
166,-0.03929705730516618,-0.04335845282831465,-0.026307331753491214
52,-0.039456040542070664,-0.04776859109854323,-0.026262170672361473
103,-0.03951035875829569,-0.04919476807916212,-0.02633592663512505
56,-0.04281927080829785,-0.05364784144863092,-0.0287344691300674
6,-0.04296826922230617,-0.04797809322870226,-0.028808561149501363
58,-0.046928783748080724,-0.05647849013347099,-0.03164012800088462
153,-0.04714621514790958,-0.054291487761314636,-0.03148426749625164
59,-0.04880096659311439,-0.055972705763087584,-0.03282597879908438
101,-0.04906498547132993,-0.057870722780088146,-0.032838439950948255
154,-0.04993394158186252,-0.06051355648364991,-0.03316828725283555
102,-0.05332747020431655,-0.05824636275086809,-0.035461150793230437
100,-0.055250752437242825,-0.06614418302978868,-0.03684301198834229
115,-0.05611132913071769,-0.06596468103594469,-0.037694527896076954
110,-0.056815842142778454,-0.06362073387896688,-0.038114305619355436
48,-0.059010341518470864,-0.06021975012790322,-0.039363938716412555
113,-0.059245317050415566,-0.06438625618229885,-0.03977456186154742
159,-0.06229366680933843,-0.07944740004218409,-0.041424347289406784
8,-0.06260854967477851,-0.06094672120608153,-0.04217280725958737
47,-0.06507832106652771,-0.053582347389028194,-0.04334633457967099
167,-0.06616606327829345,-0.07677366200164702,-0.044970205373365504
152,-0.06925441641190792,-0.0727803914905481,-0.04613216774382943
168,-0.06991823954695045,-0.07945983152142998,-0.04710421860225587
60,-0.07152093770342444,-0.07183554243254031,-0.04816402734400254
61,-0.0728111273503775,-0.0727117856205701,-0.04906730170334344
9,-0.07382451143463309,-0.0704585362315828,-0.049812154826719905
46,-0.07614882405510903,-0.06398548810101143,-0.05093453831098864
62,-0.08018178317886503,-0.07692018049427655,-0.05415048985837372
10,-0.08069514808162147,-0.0720523658314974,-0.05444902787819418
149,-0.08122610604752982,-0.09167267712738061,-0.05395500706269199
114,-0.08428205865756838,-0.09374265648790064,-0.05699308274654347
169,-0.08699456801017959,-0.08748024515531079,-0.058286170120304466
99,-0.08869445041408033,-0.08111999443661384,-0.059479918605201645
116,-0.09025071120900696,-0.09689898645097088,-0.06075958308170508
98,-0.09188741250694797,-0.0862914504194838,-0.06153931118610734
45,-0.09206908585227432,-0.07707902170576705,-0.0615476825056524
97,-0.09218965008670879,-0.08110913165041964,-0.06165047515824447
170,-0.09272770194021324,-0.08559919870099024,-0.06250098881727163
150,-0.09516708879087793,-0.08115972588907222,-0.06354206548884282
11,-0.09517945114207883,-0.08819942754650915,-0.0641564033965902
96,-0.09526722236462773,-0.08830555850118069,-0.06344928522786959
12,-0.09797181020519831,-0.08654391905570308,-0.06612243639005747
151,-0.0992246063186286,-0.09705924663202596,-0.06633035953194392
43,-0.09983730736716383,-0.08025864148939313,-0.06673805109674029
44,-0.10050824959088916,-0.0836731792256597,-0.06734567562691116
148,-0.10675221900690647,-0.09326671810028879,-0.07113924951073008
191,-0.10858102578965982,-0.11767601047454058,-0.07313074637392651
117,-0.10864768337407497,-0.10406952478326215,-0.07334827059364156
95,-0.10886701862613882,-0.09576838530386403,-0.07273315128651896
172,-0.10961260783299147,-0.09688817931315238,-0.07372856806132544
65,-0.11025763532367315,-0.0997458450724663,-0.07473470956957705
63,-0.11028345885523638,-0.10028314650720623,-0.0745964762217863
189,-0.11105060127952943,-0.12349753793406984,-0.07478677398417269
192,-0.11159605161701892,-0.12991335276598584,-0.07390917299502607
42,-0.11341618997160569,-0.09129348077688079,-0.07598286829552002
64,-0.11485525170420838,-0.09950847698966442,-0.07772459744005822
118,-0.1171891475813931,-0.10786268651064357,-0.07934568062360342
171,-0.11784239771947795,-0.11443251443836082,-0.07948445608215657
13,-0.12049716350991824,-0.09443691288876063,-0.08143991324505305
92,-0.12700667674001795,-0.10910303965287015,-0.08520165344988434
41,-0.12745968160161655,-0.10682087840714999,-0.08543993008949521
91,-0.13244633728484448,-0.11021532030199357,-0.08892267841787349
66,-0.13257077509937387,-0.11252465673967854,-0.08968248246821346
144,-0.13433659345914922,-0.12021522597876545,-0.08966087374410212
119,-0.13583838515497992,-0.12941561559436415,-0.09200781634255825
188,-0.1365676266974021,-0.13829020544722703,-0.09236330429506666
193,-0.13936786164134524,-0.13857842823300956,-0.09407736634903317
94,-0.14271359775087664,-0.11903008691504077,-0.09594265463545673
90,-0.14291234909017464,-0.11227380005703659,-0.09619093271395814
145,-0.14443509894510206,-0.13296580987328666,-0.09683536110900332
93,-0.1446384049068485,-0.11837513207896741,-0.09694461654918288
120,-0.1455498466231355,-0.12600882157097004,-0.09816723052077765
39,-0.14562015764007716,-0.12311884812680923,-0.09790834008783177
40,-0.14668064858703378,-0.11785773924841661,-0.09845419012616212
14,-0.14668096812001455,-0.11979938269638772,-0.0996083161228924
38,-0.14803610271084808,-0.12109384590571333,-0.0992718367986362
194,-0.14968323721217058,-0.14009936975783602,-0.10025088790387619
146,-0.1499656727326912,-0.1352790751476478,-0.10019925072985704
143,-0.15132176597242472,-0.12828811307163804,-0.10166873390864103
67,-0.15185369371668733,-0.1288494714549605,-0.10287144917246602
36,-0.15361381028617707,-0.11845592080675446,-0.10350612129558111
174,-0.15381036067737064,-0.13985451789148987,-0.10359659609756992
195,-0.15493371466843162,-0.13228231824262318,-0.10434935782239427
121,-0.15574011237202584,-0.1361177661489422,-0.10527889020765138
173,-0.15594269006592712,-0.13590469562681298,-0.10562536312981369
87,-0.1568171374009829,-0.13490801947258002,-0.10578371417440588
37,-0.1577301292724685,-0.12375324112500459,-0.10580526157181998
15,-0.15875958717291205,-0.11790139597650649,-0.1076137977621011
175,-0.16175351001143165,-0.14577404514558717,-0.10956761661031515
184,-0.1623793746995256,-0.14236960231912488,-0.11015726864234326
88,-0.16279517824601034,-0.14040651378987618,-0.1097898134950142
140,-0.1662255982700979,-0.14469870677842175,-0.11209367266417952
89,-0.1682962423178401,-0.13139480541423826,-0.11341348640008292
147,-0.1685353455725119,-0.1485063796680092,-0.11295043106613507
196,-0.16856248081652622,-0.1633581736067948,-0.11335223660597002
70,-0.16971461189465953,-0.13945566595411088,-0.11506414709931514
68,-0.16977239423378612,-0.13983270106737025,-0.11482365542264453
16,-0.1705533064030854,-0.13057081751006971,-0.11572421416956649
34,-0.1723930558366169,-0.1323191413218939,-0.11680933811056782
141,-0.1730332131744428,-0.14374606701376835,-0.11714744401757572
176,-0.17341155978878517,-0.15230506218554438,-0.117483556470749
186,-0.17382548415177362,-0.15501825469370856,-0.1176026865596113
17,-0.1782966612343664,-0.13427171869136575,-0.1209072774765279
185,-0.17925274375239078,-0.16295937737866448,-0.121318104462577
187,-0.1805899978523579,-0.1720122586102635,-0.12150853013158378
35,-0.1829915728191086,-0.14410751300194677,-0.12347220733171446
190,-0.18322934573494826,-0.17125858912830594,-0.12332769318080813
85,-0.18418210517781602,-0.15227598814059348,-0.1249767854089073
177,-0.18431628750685924,-0.15499726615875278,-0.12458426224146756
86,-0.18508099001116288,-0.15574502256692171,-0.12487310879228034
124,-0.18514232084120308,-0.1521690841949193,-0.1258573122051121
69,-0.1851667756520157,-0.14675610301307257,-0.12543635854721452
33,-0.18666509051278998,-0.1479546370554556,-0.12639125414047533
197,-0.18974915165285558,-0.1784793324652661,-0.12826141905156063
71,-0.19294451280559227,-0.15418494126084772,-0.13090555160256262
83,-0.19442959943466906,-0.1576658869419002,-0.13126280127763731
18,-0.19509289604290153,-0.14151830141724,-0.13238117827421184
142,-0.1953455104300813,-0.1607189716240235,-0.13168401118139528
84,-0.1971751932566314,-0.1660372739019625,-0.13331229544858159
123,-0.1973179226524203,-0.1701197072913894,-0.1346549092779098
32,-0.1994678442019578,-0.1536714855601285,-0.1356150692879952
19,-0.20308775123102407,-0.15469407561860227,-0.13750508504411227
31,-0.20413225493034434,-0.1626221197009579,-0.13857458224760943
137,-0.2044903304386128,-0.16495560668051107,-0.13965541242831717
180,-0.2046572558611537,-0.16477708115937903,-0.13904764552353965
122,-0.2047615933082271,-0.1649519476838836,-0.13875448153334916
136,-0.20482593991519168,-0.17141434295274313,-0.13882421421144642
182,-0.20640554630518274,-0.16948940672565627,-0.14076410927898467
138,-0.20673855272079938,-0.17027905479349104,-0.1405193874695228
181,-0.20694500340582211,-0.16183787449697437,-0.14057420927440795
139,-0.20744377703975114,-0.16946289094609185,-0.14079980733785685
30,-0.20825378957226595,-0.16236716721957178,-0.14113991030057105
29,-0.20918623317907314,-0.16314331298400336,-0.14156205687959492
20,-0.20949380427028536,-0.15607759782412406,-0.14184980658101332
132,-0.21103702910824326,-0.1672423071363242,-0.14421603883578957
82,-0.21278239116250072,-0.17244031658086437,-0.14368621805360574
183,-0.21433241249247584,-0.1659835274323886,-0.14544373859491902
73,-0.21558856341731494,-0.16647722626282704,-0.14578932876668693
72,-0.21582501139236746,-0.17005028344859996,-0.1463586852140885
75,-0.21810847598825298,-0.1717363361746432,-0.14794972939360168
129,-0.21854686993333175,-0.17253229371159656,-0.14914645898901863
125,-0.22086572607114205,-0.17324714254026172,-0.1502577726009711
198,-0.22086833681189325,-0.19315530316036655,-0.14905829138201437
128,-0.22236444075983344,-0.18471390963235276,-0.15147090213803788
81,-0.22269414899920262,-0.17572146096608396,-0.1510268783031745
21,-0.22328145713844916,-0.16927797218217738,-0.15153202499369808
178,-0.2246200987425939,-0.17168209806142334,-0.1520804306932372
28,-0.22865873770814443,-0.1685573740919769,-0.15537326072514235
22,-0.2319924590060402,-0.17808216635568933,-0.1577290398422597
24,-0.23237530854002647,-0.17240904085942754,-0.1582463707275095
25,-0.23244346250105546,-0.17340198085383352,-0.15789165690187493
74,-0.2324677914037272,-0.18690019278178738,-0.1575658636313695
79,-0.23265868049492366,-0.185587892355934,-0.15843101192235437
80,-0.2330855415092937,-0.18547543566267907,-0.15844703324047993
199,-0.23324292297641774,-0.19873150593613448,-0.15729500507371466
78,-0.23389130175278175,-0.18087846382310807,-0.15856226670742213
26,-0.23463400815176988,-0.18185523806396348,-0.15973715569136715
133,-0.2350473852315972,-0.1931181245004936,-0.16003555881856102
134,-0.23613120245801142,-0.18609441202679655,-0.16037039514376206
135,-0.23695209719050814,-0.19027819670613974,-0.16074566513284877
127,-0.2387690508220586,-0.18963874527057994,-0.16306705854543854
179,-0.23916177838288782,-0.18860789111604032,-0.16164319376622344
27,-0.23978518120317396,-0.17736759702668592,-0.16290111085612824
126,-0.2404728459159088,-0.1900948522065705,-0.1638428558440493
76,-0.2416618717004407,-0.18517695308301169,-0.1643654355595545
77,-0.24227485888404846,-0.18138290540716542,-0.16481958310102277
23,-0.24437929374591452,-0.1761141184252142,-0.16645381939832776
131,-0.24582735026347663,-0.19589535133454533,-0.16675842971374194
130,-0.2712035020272063,-0.2073754390459473,-0.18483862005135596
